code,country,region,population,area,pop_density,coastline,net_migration,infant_mortality,gdp,literacy,phones,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service,latitude,longitude
JAM,Jamaica,LATINAMER.&CARIB,2758124,10991,"250,9","9,3","-4,92","12,36",3900,"87,9",124,"16,07","10,16","73,77",2,"20,82","6,52",49,337,615,"18,109581","-77,297508"
JPN,Japan,ASIA(EX.NEAREAST),127463611,377835,"337,4","7,87",0,"3,26",28200,99,"461,2","12,19","0,96","86,85",3,"9,37","9,16",17,258,725,"36,204824","138,252924"
JEY,Jersey,WESTERNEUROPE,91084,116,"785,2","60,34","2,76","5,24",24800,,"811,3",0,0,100,3,"9,3","9,28","0,05","0,02","0,93","49,214439","-2,13125"
JOR,Jordan,NEAREAST,5906760,92300,64,"0,03","6,59","17,35",4300,"91,3","104,5","2,67","1,83","95,5",1,"21,25","2,65",33,287,"0,68","30,585164","36,238414"
KAZ,Kazakhstan,C.W.OFIND.STATES,15233244,2717300,"5,6",0,"-3,35","29,21",6300,"98,4","164,1","7,98","0,05","91,97",4,16,"9,42",67,386,547,"48,019573","66,923684"
KEN,Kenya,SUB-SAHARANAFRICA,34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02",163,188,651,"-0,023559","37,906193"
KIR,Kiribati,OCEANIA,105432,811,130,"140,94",0,"48,52",800,,"42,7","2,74","50,68","46,58",2,"30,65","8,26",89,242,668,"-3,370417","-168,734039"
PRK,"Korea,North",ASIA(EX.NEAREAST),23113019,120540,"191,8","2,07",0,"24,04",1300,99,"42,4","20,76","2,49","76,75",3,"15,54","7,13","0,3","0,34","0,36","40,339852","127,510093"
KOR,"Korea,South",ASIA(EX.NEAREAST),48846823,98480,496,"2,45",0,"7,05",17800,"97,9","486,1","17,18","1,95","80,87",3,10,"5,85",33,403,563,"35,907757","127,766922"
KWT,Kuwait,NEAREAST,2418393,17820,"135,7","2,8","14,18","9,95",19000,"83,5",211,"0,73","0,11","99,16",1,"21,94","2,41",4,479,516,"29,31166","47,481766"
KGZ,Kyrgyzstan,C.W.OFIND.STATES,5213898,198500,"26,3",0,"-2,45","35,64",1600,97,84,"7,3","0,35","92,35","2,5","22,8","7,08",353,208,439,"41,20438","74,766098"
LAO,Laos,ASIA(EX.NEAREAST),6368481,236800,"26,9",0,0,"85,22",1700,"66,4","14,1","3,8","0,35","95,85",2,"35,49","11,55",455,287,258,"19,85627","102,495496"
LVA,Latvia,BALTICS,2274735,64589,"35,2","0,82","-2,23","9,55",10200,"99,8","321,4","29,67","0,47","69,86",3,"9,24","13,66","0,04",261,699,"56,879635","24,603189"
LBN,Lebanon,NEAREAST,3874050,10400,"372,5","2,16",0,"24,52",4800,"87,4","255,6","16,62","13,98","69,4",,"18,52","6,21","0,12","0,21","0,67","33,854721","35,862285"
LSO,Lesotho,SUB-SAHARANAFRICA,2022331,30355,"66,6",0,"-0,74","84,23",3000,"84,8","23,7","10,87","0,13",89,3,"24,75","28,71",163,443,394,"-29,609988","28,233608"
LBR,Liberia,SUB-SAHARANAFRICA,3042004,111370,"27,3","0,52",0,"128,87",1000,"57,5","2,3","3,95","2,28","93,77",2,"44,77","23,1",769,54,177,"6,428055","-9,429499"
LBY,Libya,NORTHERNAFRICA,5900754,1759540,"3,4","0,1",0,"24,6",6400,"82,6","127,1","1,03","0,19","98,78",,"26,49","3,48",76,499,425,"26,3351","17,228331"
LIE,Liechtenstein,WESTERNEUROPE,33987,160,"212,4",0,"4,85","4,7",25000,100,"585,5",25,0,75,4,"10,21","7,18","0,06","0,39","0,55","47,166","9,555373"
LTU,Lithuania,BALTICS,3585906,65200,55,"0,14","-0,71","6,89",11400,"99,6","223,4","45,22","0,91","53,87",,"8,75","10,98",55,325,"0,62","55,169438","23,881275"
LUX,Luxembourg,WESTERNEUROPE,474413,2586,"183,5",0,"8,97","4,81",55100,100,"515,4","23,28","0,4","76,32",,"11,94","8,41","0,01","0,13","0,86","49,815273","6,129583"
MAC,Macau,ASIA(EX.NEAREAST),453125,28,16183,"146,43","4,86","4,39",19400,"94,5","384,9",0,0,100,2,"8,48","4,47",1,72,927,"22,198745","113,543873"
MKD,Macedonia,EASTERNEUROPE,2050554,25333,"80,9",0,"-1,45","10,09",6700,,260,"22,26","1,81","75,93",3,"12,02","8,77",118,319,563,"41,608635","21,745275"
MDG,Madagascar,SUB-SAHARANAFRICA,18595469,587040,"31,7","0,82",0,"76,83",800,"68,9","3,6","5,07","1,03","93,91",2,"41,41","11,11",276,165,559,"-18,766947","46,869107"
MWI,Malawi,SUB-SAHARANAFRICA,13013926,118480,"109,8",0,0,"103,32",600,"62,7","7,9","23,38","1,49","75,13",2,"43,13","19,33",342,158,499,"-13,254308","34,301525"
MYS,Malaysia,ASIA(EX.NEAREAST),24385858,329750,74,"1,42",0,"17,7",9000,"88,7",179,"5,48","17,61","76,91",2,"22,86","5,05",84,"0,48",436,"4,210484","101,975766"
MDV,Maldives,ASIA(EX.NEAREAST),359008,300,"1196,7","214,67",0,"56,52",3900,"97,2",90,"13,33","16,67",70,2,"34,81","7,06","0,2","0,18","0,62","3,202778","73,22068"
MLI,Mali,SUB-SAHARANAFRICA,11716829,1240000,"9,5",0,"-0,33","116,79",900,"46,4","6,4","3,82","0,03","96,15",2,"49,82","16,89","0,45","0,17","0,38","17,570692","-3,996166"
MLT,Malta,WESTERNEUROPE,400214,316,"1266,5","62,28","2,07","3,89",17700,"92,8",505,"28,13","3,13","68,74",,"10,22","8,1","0,03","0,23","0,74","35,937496","14,375416"
MHL,MarshallIslands,OCEANIA,60422,11854,"5,1","3,12","-6,04","29,45",1600,"93,7","91,2","16,67","38,89","44,44",2,"33,05","4,78",317,149,534,"7,131474","171,184478"
MTQ,Martinique,LATINAMER.&CARIB,436131,1100,"396,5","31,82","-0,05","7,09",14400,"97,7","394,4","10,38","9,43","80,19",2,"13,74","6,48","0,06","0,11","0,83","14,641528","-61,024174"
